	AWA:Bira3Ctrl:Ch03	AWA:Bira3Ctrl:Ch04	AWA:Bira3Ctrl:Ch05	AWA:Bira3Ctrl:Ch06	AWA:DAC0:Ch08	AWA:Drive:DS1:Ctrl	AWA:Drive:DS3:Ctrl	AWALLRF:K1:SetPhase	13ARV1:image1:ArraySize1_RBV	13ARV1:image1:ArraySize0_RBV	...	13ARV1:Cx_std	13ARV1:Cy_std	13ARV1:Sx_std	13ARV1:Sy_std	13ARV1:bb_penalty_std	13ARV1:total_intensity_std	13ARV1:log10_total_intensity_std	total_rms_size	xopt_runtime	xopt_error
1	-0.806105	-0.776121	1.705201	0.131568	4.929338	502.170090	208.105682	353.911686	1200.0	1920.0	...	0.829994	0.229461	0.171975	0.601814	1.213546	417114.485839	0.084282	15.821181	9.251255	False
2	-1.911520	0.936251	0.374213	1.045129	4.887869	533.021678	242.381544	344.579240	1200.0	1920.0	...	0.405735	0.651988	0.250429	0.256740	0.902208	185657.501940	0.040598	15.600330	11.015657	False
3	0.613589	-0.266364	0.856463	-1.384460	5.536879	549.273413	217.433380	345.626308	1200.0	1920.0	...	0.716650	1.454609	0.636275	0.610496	1.572938	479575.896665	0.096419	21.120533	9.699843	False
4	0.590067	-0.293451	0.835026	-1.357757	5.582421	548.718040	214.806440	346.267728	1200.0	1920.0	...	0.560937	0.701598	0.550487	0.266404	0.924189	436647.098985	0.076473	21.366142	12.495802	False
5	0.636957	-0.293168	0.877690	-1.357982	5.490883	549.830475	214.776356	344.977770	1200.0	1920.0	...	0.672733	0.613940	0.243470	0.148704	1.000017	145498.336196	0.028552	23.221382	7.770248	False
6	-0.968191	0.450441	-0.717785	1.360013	5.852420	549.513989	197.374867	346.445403	1200.0	1920.0	...	0.846478	0.340146	0.050326	0.103044	0.550990	272678.665105	0.045972	23.597209	9.234790	False
7	0.566323	-0.321093	0.813333	-1.384709	5.627106	549.268680	212.212888	346.902449	1200.0	1920.0	...	0.369383	1.067088	0.139763	0.125555	1.098699	252015.105055	0.052455	22.089075	7.982702	False
8	-0.974335	0.446432	-0.718588	1.352640	5.858104	549.322819	196.463718	346.367527	1200.0	1920.0	...	0.535709	0.577093	0.128232	0.223792	0.478481	304219.675827	0.050608	24.197822	7.504057	False
9	-0.967682	0.456036	-0.708589	1.362970	5.861005	549.644325	195.530981	346.555834	1200.0	1920.0	...	0.508046	0.959473	0.261136	0.170791	1.076855	463003.159640	0.080247	24.407877	7.034743	False
10	-0.956383	0.448485	-0.714376	1.355010	5.845547	549.617731	195.117060	346.508086	1200.0	1920.0	...	0.609895	0.210581	0.176595	0.137273	0.753773	270718.399506	0.044968	24.482337	7.220196	False
11	-0.957189	0.458733	-0.701257	1.365902	5.857091	549.716634	195.626744	346.739950	1200.0	1920.0	...	0.624112	0.246613	0.087440	0.080578	0.464578	38899.804595	0.006567	24.578025	6.286747	False
12	-0.959503	0.454402	-0.710323	1.367522	5.842346	549.550907	195.006040	346.835271	1200.0	1920.0	...	0.730535	0.641381	0.237519	0.169419	0.481577	343729.895507	0.059317	24.631594	6.447165	False
13	-0.957807	0.471772	-0.714207	1.358741	5.867873	549.306492	195.774433	346.702459	1200.0	1920.0	...	1.085509	0.437037	0.059513	0.180210	0.780218	193310.288970	0.032771	24.889271	8.008152	False
14	-0.959072	0.505814	-0.736603	1.368659	5.846853	549.346441	195.475244	346.839588	1200.0	1920.0	...	0.689763	0.779074	0.139906	0.118069	0.855896	250585.322563	0.044802	25.480820	6.986542	False
15	-0.961535	0.511659	-0.690263	1.311698	5.845804	549.421767	195.412733	346.725377	1200.0	1920.0	...	0.497349	0.381918	0.222130	0.119975	0.624740	339659.049914	0.067045	25.365301	6.834347	False
16	-0.956314	0.479975	-0.677565	1.295057	5.851967	549.667387	195.487736	346.800538	1200.0	1920.0	...	0.393878	0.211491	0.172089	0.146942	0.597409	239891.140552	0.044635	25.004750	6.717962	False
17	-0.973242	0.466387	-0.715070	1.357424	5.878330	549.773915	194.553297	346.282521	1200.0	1920.0	...	0.745443	0.624499	0.139951	0.166293	0.948041	178489.847204	0.030329	24.818062	7.434536	False
18	-0.977150	0.447983	-0.707368	1.348739	5.863597	549.901578	194.729020	346.629243	1200.0	1920.0	...	0.583714	0.741557	0.131140	0.211855	0.571932	307684.022389	0.049932	24.986429	5.892197	False
19	-0.961052	0.450681	-0.758253	1.358901	5.836887	549.123199	195.600640	346.872898	1200.0	1920.0	...	0.761482	0.720832	0.044941	0.318969	0.644022	141864.094451	0.025516	24.885550	8.869420	False
20	0.542165	-0.293218	0.791046	-1.412478	5.582475	549.814574	209.724226	347.517516	1200.0	1920.0	...	0.445094	0.957636	0.081480	0.535593	0.805720	372062.385543	0.066022	23.544539	11.712576	False
21	-0.957079	0.476772	-0.680376	1.351772	5.846736	549.184880	195.511121	346.656543	1200.0	1920.0	...	0.518203	0.429371	0.415239	0.175161	0.935256	301959.303553	0.047863	25.980224	5.891860	False
22	-0.967679	0.496652	-0.763661	1.330727	5.838481	549.282304	195.219537	346.713745	1200.0	1920.0	...	0.312875	0.632878	0.065152	0.218611	0.555811	109936.102554	0.019730	25.280765	7.111135	False
23	-0.958135	0.511039	-0.693989	1.331888	5.846199	549.477058	195.511313	346.719663	1200.0	1920.0	...	0.732162	0.573672	0.127702	0.215253	0.746652	281278.399201	0.049421	26.441676	6.492353	False
24	-0.939794	0.462127	-0.705140	1.360912	5.869160	549.968845	195.146146	346.886907	1200.0	1920.0	...	0.608472	0.477575	0.119719	0.138671	0.636977	142303.128517	0.024163	25.674021	11.979916	False
25	1.817412	-2.238171	-0.224582	0.737849	5.150253	516.601878	257.512703	341.435271	1200.0	1920.0	...	0.460383	0.327673	0.327040	0.078444	0.443353	189552.709699	0.038586	21.966412	12.787573	False
26	-0.954725	0.451727	-0.786078	1.364903	5.850147	549.331821	195.564557	346.687936	1200.0	1920.0	...	0.575581	0.511339	0.049949	0.450166	0.810944	377945.937238	0.072874	25.247550	8.493112	False
27	-0.963818	0.515737	-0.664801	1.304711	5.852011	549.393761	195.513429	346.842825	1200.0	1920.0	...	0.574696	0.778795	0.158148	0.201287	0.773207	223376.323267	0.041058	26.877705	6.495474	False
28	0.542294	-0.349102	0.791305	-1.412082	5.670985	549.819710	214.748311	346.277681	1200.0	1920.0	...	0.105769	0.939353	0.035175	0.143516	0.715598	139650.823071	0.028402	24.783766	7.494676	False
29	-0.959578	0.512259	-0.739149	1.274763	5.850841	549.720434	195.383719	346.746487	1200.0	1920.0	...	0.476334	0.478347	0.074896	0.480996	0.522403	301350.101537	0.062329	26.037324	9.218237	False
30	0.557646	-1.378730	-0.633100	1.280353	5.163607	517.460885	217.086574	352.835920	1200.0	1920.0	...	0.213985	1.653925	1.189178	0.841082	3.156484	388159.904120	0.073115	23.235017	7.501775	False
30 rows × 31 columns

 
